Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nacimientos registrados por entidad federativa de residencia habitual de la madre según sexo, serie anual de 2010 a 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Fecha de consulta: 22/04/2026 00:26:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacimientos registrados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa de residencia habitual de la madre,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Entidad federativa de residencia habitual de la madre,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado,Total,Hombres,Mujeres,No especificado
Sonora,"54,110","27,556","26,554",0,"54,756","27,545","27,210",1,"53,768","27,453","26,315",0,"52,825","26,878","25,947",0,"51,894","26,506","25,388",0,"48,925","24,942","23,983",0,"46,785","23,703","23,081",1,"45,951","23,402","22,549",0,"43,729","22,282","21,447",0,"44,229","22,477","21,752",0,"30,904","15,899","15,005",0,"40,561","20,598","19,963",0,"38,373","19,390","18,983",0,"37,471","19,158","18,313",0,"34,639","17,629","17,010",0


Notas:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las cifras se refieren a los nacimientos registrados por entidad federativa de residencia habitual de la madre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La información de 2013 incluye un registro de nacimiento con padres del mismo sexo en Coahuila de Zaragoza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La información de 2014 incluye un registro de nacimiento con padres del mismo sexo en Nuevo León.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La información de 2016 incluye un registro de nacimiento con padres del mismo sexo en Nayarit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La información de 2017 incluye un registro de nacimiento con padres del mismo sexo en Nayarit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La información de 2018 incluye un registro de nacimiento con padres del mismo sexo en Aguascalientes y dos en Baja California.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La información de 2019 incluye un registro de nacimiento con padres del mismo sexo en Chihuahua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La información de 2022 incluye ocho registros de nacimientos con padres del mismo sexo en Guanajuato.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La información de 2023 incluye: 34 registros de nacimientos con padres del mismo sexo en Coahuila de Zaragoza, tres en Chihuahua, cuatro en Guanajuato, 56 en Jalisco, tres en Nayarit, 20 en Nuevo León, dos en Querétaro y cuatro en Sonora.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La información de 2024 incluye: un registro de nacimiento con padres del mismo sexo en Aguascalientes, 61 en Baja California, tres en Baja California Sur, nueve en Campeche, 34 en Coahuila de Zaragoza, 243 en la Ciudad de México, seis en Guanajuato, 57 en Jalisco, 17 en México, uno en Nayarit, 42 en Nuevo León, cinco en Querétaro y 32 en Sinaloa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: INEGI. Estadística de Nacimientos Registrados (ENR).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de actualización: 25 de septiembre de 2025.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
