Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,
"Tasa de absorción por entidad federativa según nivel educativo, ciclos escolares seleccionados de 2000/2001 a 2024/2025",,,,,,,,,,

Fecha de consulta: 21/04/2026 23:47:40,,,,,,,,,,
,,,,,,,,,,
Entidad federativa,Nivel educativo,2000/2001,2005/2006,2010/2011,2015/2016,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025
Estados Unidos Mexicanos,Superior,87.2,79.9,83.0,72.9,63.6,68.1,71.8,72.6,68.5
Aguascalientes,Superior,97.6,98.6,98.8,100.6,91.4,97.9,88.2,103.1,94.0
Baja California,Superior,85.5,82.3,85.1,71.2,60.3,70.9,76.6,69.3,69.8
Baja California Sur,Superior,78.5,108.7,107.2,92.7,66.8,68.9,82.2,84.9,75.0
Campeche,Superior,114.2,103.4,107.5,95.6,75.7,85.8,91.7,95.0,90.7
Coahuila de Zaragoza,Superior,106.7,91.0,97.6,95.7,75.7,87.9,98.5,92.2,87.2
Colima,Superior,92.0,90.9,105.2,80.9,67.8,71.2,77.3,76.6,63.8
Chiapas,Superior,52.1,36.9,43.1,34.9,31.1,32.6,36.0,34.9,33.7
Chihuahua,Superior,94.9,88.7,85.2,90.4,79.0,79.4,85.5,77.4,74.0
Ciudad de México,Superior,129.2,111.2,110.7,78.4,91.8,84.4,89.0,94.2,86.9
Durango,Superior,69.4,59.0,60.7,59.4,56.5,64.2,64.3,62.0,58.2
Guanajuato,Superior,84.0,72.5,75.1,73.5,55.0,59.2,68.5,63.7,63.2
Guerrero,Superior,67.3,53.4,57.0,49.1,49.6,54.4,55.5,55.8,55.8
Hidalgo,Superior,72.3,63.5,70.3,80.5,69.0,74.1,79.0,79.6,75.5
Jalisco,Superior,77.3,100.9,104.8,58.2,44.6,49.9,41.5,55.1,51.9
México,Superior,78.3,72.7,80.6,77.3,56.8,58.6,66.3,66.5,59.2
Michoacán de Ocampo,Superior,84.7,92.4,82.2,63.3,64.1,67.8,70.4,71.1,66.3
Morelos,Superior,68.8,73.2,79.0,64.2,62.6,67.4,73.0,78.7,73.2
Nayarit,Superior,72.6,94.6,105.0,70.2,51.1,66.7,69.7,58.4,56.5
Nuevo León,Superior,104.2,109.2,85.9,68.2,76.4,73.1,69.0,65.5,60.5
Oaxaca,Superior,62.8,50.7,51.4,52.7,48.0,50.7,54.2,54.7,57.8
Puebla,Superior,104.7,83.7,80.5,84.0,67.6,77.8,88.1,91.5,84.0
Querétaro,Superior,102.2,80.3,87.4,87.8,82.3,84.7,85.6,85.8,71.1
Quintana Roo,Superior,56.3,78.2,97.6,74.4,57.9,59.9,71.4,63.9,55.1
San Luis Potosí,Superior,69.7,68.7,73.4,65.3,55.5,61.1,64.3,61.5,62.9
Sinaloa,Superior,102.1,83.1,93.7,87.7,87.2,95.8,107.0,103.0,111.7
Sonora,Superior,98.8,102.3,111.9,104.6,99.3,100.9,112.4,109.5,99.1
Tabasco,Superior,58.6,65.3,68.1,75.0,37.8,54.7,54.2,54.6,56.2
Tamaulipas,Superior,141.4,96.5,101.6,82.6,81.4,95.7,100.6,100.5,98.7
Tlaxcala,Superior,74.8,66.7,72.3,61.6,56.2,59.5,66.8,65.6,55.4
Veracruz de Ignacio de la Llave,Superior,61.1,60.8,66.2,62.7,47.4,56.3,60.9,60.5,57.4
Yucatán,Superior,90.8,87.7,96.4,106.4,77.2,91.8,98.4,97.9,83.0
Zacatecas,Superior,81.5,75.1,85.9,89.5,70.3,71.9,76.9,73.8,70.4



,,,,,,,,,,
Unidad de medida:,,,,,,,,,,
Porcentaje.,,,,,,,,,,
,,,,,,,,,,
Definición:,,,,,,,,,,
"Es la proporción de alumnos de nuevo ingreso a primer grado de un nivel respecto a los alumnos egresados del nivel y ciclo inmediato anterior. Señala la capacidad del sistema educativo de atender la demanda que se deriva de la transición natural dentro del sistema educativo. El indicador es sensible a la migración de la población, es decir, puede alcanzar cifras mayores a 100% si se inscriben como nuevo ingreso alumnos provenientes de entidades federativas vecinas.",,,,,,,,,,
,,,,,,,,,,
Notas:,,,,,,,,,,
"El nivel educativo Media superior incluye Profesional técnico y Bachillerato; el Superior incluye licenciatura en Educación Normal, Universitaria y Tecnológica, y excluye Posgrado.",,,,,,,,,,
"Los indicadores están calculados por la Secretaría de Educación Pública (SEP) con base en las proyecciones de población a mitad de año del Consejo Nacional de Población (CONAPO), versión de agosto de 2023.",,,,,,,,,,
,,,,,,,,,,
Fuente: SEP. Estadística e indicadores. Indicadores y pronósticos. Reporte de indicadores educativos. https://www.planeacion.sep.gob.mx/indicadorespronosticos.aspx (Consulta: 25 de noviembre de 2025).,,,,,,,,,,
,,,,,,,,,,
