"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 21/04/2026 13:48:46",

"Nombre del Indicador Clave: Tasa neta de matriculación en secundaria (12 a 14 años de edad)",
"Definición: Porcentaje de la población de 12 a 14 años de edad matriculada en la educación secundaria con respecto a la población total de 12 a 14 años de edad.",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: A partir de 1990.",
"Unidad de medida: Porcentaje",
"Periodicidad: Anual",


"Entidad federativa","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Nacional","50.58181","50.36478","51.42110","53.38405","55.45663","57.33453","58.57057","60.02158","61.74446","63.66754","65.70113","67.51692","69.76751","71.21621","72.91951","73.71877","75.11370","76.23310","76.93151","77.30165","77.98551","78.70860","80.67652","82.41174","84.85004","85.13355","84.32504","82.99087","82.83577","82.42244","82.35393","81.61982","80.44367","81.43032","82.21561"
"Aguascalientes","50.49763","50.80024","53.39072","56.77810","60.53610","65.47799","65.63749","66.40679","68.70385","69.13047","69.79214","70.48148","73.41656","74.94886","76.32749","74.81751","76.08265","77.10835","77.60727","76.94008","76.85434","77.68319","79.16526","79.92778","80.88995","80.73011","80.68657","79.48164","79.68926","80.22349","81.18846","80.57282","79.50033","79.97315","80.24474"
"Baja California","56.15248","55.69953","57.13170","58.60468","60.61960","62.49105","62.98184","64.99949","65.48998","67.31737","68.88624","70.46322","72.10468","73.76458","74.82941","74.22310","74.89492","77.03537","79.45175","80.82666","81.89589","84.47378","87.32349","88.68724","90.39618","89.20073","83.56139","83.23149","82.72176","82.99174","83.57977","83.13796","82.41547","82.66812","83.56954"
"Baja California Sur","60.18909","61.88898","63.69241","66.34496","68.72098","69.22737","69.01815","69.60255","70.45150","72.98387","75.44870","76.89325","77.66669","76.91918","77.38259","77.85054","80.30975","82.19137","82.39823","81.06975","81.10262","82.13453","82.21414","84.40403","86.63335","85.89884","84.20748","82.94985","82.55597","82.49041","84.76664","84.46905","83.57601","84.69856","85.11442"
"Campeche","39.53297","39.64483","41.95461","43.66596","46.67973","49.00937","51.12708","53.93742","58.20413","60.01446","61.51157","62.97141","63.99570","65.38221","65.37469","66.02288","68.42366","69.31857","70.31147","72.39076","73.92146","73.99960","75.85507","78.48104","80.71461","80.89016","80.91528","78.95044","78.85877","78.18244","80.18352","78.19568","77.50892","78.40028","79.32817"
"Coahuila de Zaragoza","61.17556","61.65185","62.99870","64.83231","68.04055","70.30937","71.51483","73.58278","77.23413","77.64693","81.48277","82.02722","83.34090","82.40180","82.89896","83.98608","85.08069","85.97346","85.88550","85.38806","84.72052","83.56535","85.47150","85.37027","85.85038","87.69396","87.09817","81.42601","80.58101","81.30420","82.08076","82.03259","79.64253","79.18676","79.48693"
"Colima","51.62441","52.01664","52.12040","54.85984","57.05168","58.91091","60.41601","61.26555","63.36650","65.86680","68.34024","70.37322","70.35688","71.23769","68.12414","70.81155","73.38978","76.44881","77.67096","75.72792","75.00990","75.19303","76.09258","76.61778","81.14921","82.01536","83.34970","84.20052","80.75725","80.83964","79.89920","81.83472","78.95297","79.96097","81.12980"
"Chiapas","25.43236","26.18998","27.24219","28.79488","30.26304","31.90337","33.82298","36.08147","38.30185","41.77074","45.81678","51.02259","54.84939","56.55245","57.83576","58.59412","59.99146","61.19455","64.19037","66.53046","67.81317","66.56258","68.92651","71.71371","74.20273","74.55053","74.73292","74.81991","74.15602","72.77868","71.34244","69.47704","68.68264","69.59607","71.40472"
"Chihuahua","46.22429","47.31703","49.42086","51.59135","54.03442","56.25217","57.52151","58.22851","59.16119","60.34132","61.64860","63.71237","65.95367","67.38405","68.35190","68.79367","70.07804","70.55121","70.73199","71.25378","73.20403","75.39408","77.00061","77.85679","83.74779","83.65379","78.03185","78.29094","79.34225","80.26127","81.27612","81.70910","78.15542","77.98197","77.78729"
"Ciudad de México","80.62599","76.93963","78.42529","80.96696","83.70424","84.97092","85.70215","84.94725","84.62395","85.16450","86.50971","87.93080","88.40655","88.97380","90.84418","93.16042","93.27047","93.86480","94.01532","94.73232","95.74375","97.17188","100.24962","103.95668","105.69389","106.49563","105.33702","104.31407","102.72771","102.60980","103.23807","103.72219","99.94397","100.05254","101.46323"
"Durango","48.17930","48.41327","50.28558","51.77756","54.36774","56.85013","53.74690","59.85744","61.48606","64.03455","66.64476","68.50714","71.53506","72.61799","73.85314","74.05838","76.79993","77.94689","78.46301","78.50591","79.97369","81.31283","82.75696","83.15808","84.02581","84.53608","85.07708","79.70561","79.16428","78.46654","76.98817","77.25770","78.45770","79.09202","80.24766"
"Guanajuato","40.25278","40.01885","42.29276","44.52693","46.84318","49.01354","50.52087","52.45559","56.07159","58.81487","60.80709","62.46693","64.43701","66.65018","70.69803","70.56499","71.34262","73.97015","74.35892","75.36802","78.98451","81.44543","84.19784","81.95685","87.17540","88.33017","88.47323","83.19064","82.06064","81.52105","81.58836","80.62678","79.91022","81.21007","82.27755"
"Guerrero","39.60460","39.17460","39.26349","39.60161","40.71192","42.49046","44.37860","46.07820","48.62902","51.25699","52.63330","53.97637","56.64945","58.15321","59.17585","60.27796","63.30890","65.80382","69.00163","69.16583","69.91961","70.58323","71.19715","75.17024","77.76731","78.97414","78.79813","78.77112","78.04146","76.67135","76.06956","75.33271","75.53932","77.08597","79.16743"
