"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 21/04/2026 13:49:58",

"Nombre del Indicador Clave: Tasa neta de matriculación en educación preescolar (3 a 5 años de edad)",
"Definición: Porcentaje de la población de tres a cinco años de edad matriculada en la educación preescolar con respecto a la población total de tres a cinco años de edad.",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: A partir de 1990.",
"Unidad de medida: Porcentaje",
"Periodicidad: Anual",


"Entidad federativa","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Nacional","39.23584","39.64390","38.76790","40.83889","42.75901","43.72324","44.72589","45.49878","46.52044","47.35887","48.26629","48.73341","51.68473","53.09843","57.75590","63.19579","67.14974","67.84962","66.92496","66.72925","67.10887","67.82579","68.43531","68.75226","69.32162","70.05698","72.76507","72.87542","72.01198","72.16321","66.84593","64.93029","68.37780","67.29559","63.63686"
"Aguascalientes","41.04115","40.74231","40.64348","43.04151","44.33865","43.28494","45.17333","45.46148","46.73133","47.38587","48.18322","47.02343","48.14452","47.83980","48.60160","59.55656","61.44571","62.05279","61.30657","60.58048","57.88592","61.40000","62.50717","62.83465","62.91987","63.26698","65.88228","66.89760","65.94672","67.79239","64.08280","65.45160","68.55239","67.69360","64.86069"
"Baja California","38.94588","39.48142","39.21187","38.86240","37.93730","38.19930","39.07520","39.21692","39.06161","40.63873","41.86288","42.21751","43.94664","44.06477","46.54878","54.61751","59.39381","55.07229","55.45231","55.32817","55.57140","58.20476","57.66503","57.91621","58.05095","58.15723","61.70920","62.41819","61.69996","59.91736","54.56580","52.72578","56.83750","55.93161","52.80376"
"Baja California Sur","51.53458","51.80482","52.19477","51.83018","52.97475","52.44845","53.05764","54.49847","55.23701","56.89378","56.55524","53.84844","56.80898","55.59848","57.27284","61.95982","67.69986","66.99842","67.19124","64.25758","64.22143","64.26350","67.06810","66.54040","65.82957","65.93491","70.49381","70.98395","71.34326","72.98533","65.26519","60.03730","62.93734","63.72019","60.23540"
"Campeche","46.16775","46.17323","48.55955","43.47394","51.75546","50.47132","49.62295","52.21829","55.09228","55.01391","52.46728","52.19807","52.41802","52.79060","54.96207","57.50961","61.55920","65.50218","67.02777","66.52028","67.69327","67.80855","68.15133","69.50207","70.31504","69.95494","73.01208","75.16570","76.88287","75.89698","70.17113","65.78102","69.68952","69.78018","67.63069"
"Coahuila de Zaragoza","44.12549","44.49029","45.79132","46.75300","46.06328","45.50649","47.65912","41.08199","49.18871","49.51516","52.71712","52.95969","55.59024","57.47753","60.91181","66.55228","71.83501","76.43738","68.61545","68.14899","70.27155","70.53674","71.39215","69.75773","69.05441","69.61408","71.36116","74.03646","70.88320","73.23732","73.04712","71.88123","74.02793","74.97743","68.94836"
"Colima","50.48797","50.95683","51.01782","52.01950","51.43320","50.81339","48.40804","48.74923","54.74854","57.68718","53.38474","55.99655","59.06765","60.26573","51.52473","67.09676","61.29068","68.19603","69.54700","63.52159","62.53224","61.96476","61.21250","63.18247","62.81872","63.72928","64.80287","65.83829","66.07324","70.17578","65.23543","65.09792","69.71288","71.59050","70.59355"
"Chiapas","33.88288","33.46306","31.92616","41.82317","42.37153","48.03549","50.34179","52.30227","52.17624","55.74866","57.50785","61.31684","63.84239","63.47191","67.18405","69.57621","71.90318","72.72184","72.84471","73.23642","73.84410","74.86089","75.93400","75.37137","76.56633","76.23846","78.38403","78.06153","76.95000","77.46370","74.13002","71.20697","73.98197","73.08883","70.87684"
"Chihuahua","38.46306","38.63851","38.83767","39.00417","40.53258","40.55676","40.98715","41.01287","41.82677","41.30267","40.90203","41.95397","44.71645","46.87897","48.05331","53.47620","55.63396","57.70687","56.99120","57.25764","58.56847","59.34561","60.48747","60.18045","59.87335","60.40163","62.03964","62.61961","63.57817","64.75445","60.10664","60.18412","62.45993","62.26187","58.81730"
"Ciudad de México","54.21354","53.96777","54.01659","54.41090","54.17715","54.29651","55.14806","56.05118","57.68653","58.93996","59.42273","59.42401","62.02495","64.20153","68.34070","68.95026","74.72659","71.70558","72.73081","72.79002","73.52414","76.08364","76.31275","77.19675","77.01512","80.08616","82.67007","80.63399","80.29880","82.19678","71.56240","69.43468","75.37775","74.93776","71.49928"
