id,indicador,descripcion
6200032077,Población no económicamente activa - 15 años y más,"La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032078,Población no económicamente activa disponible - 15 años y más,"La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032078,Población no económicamente activa disponible - 15 años y más,"Para la ENOEN del tercer trimestre de 2020 al segundo trimestre de 2022 en el rubro de "Disponibles", se clasificó a las personas ausentes temporales de una actividad u oficio y a las personas con necesidad o deseos de trabajar, las cuales eran clasificadas en la ENOE en el rubro "Otros" de la Población No Económicamente Activa No Disponible. La razón de este cambio es que, debido a la pandemia y el cierre de las empresas y negocios en actividades no esenciales, técnicamente dicha población quedó fuera de la fuerza de trabajo al perder el vínculo con la unidad empleadora, muchos de los cuales retornarán a su trabajo una vez que se reactiven las actividades; por lo que conceptualmente es pertinente darles un tratamiento de "personas disponibles para trabajar sin posibilidades de búsqueda de trabajo", en vez de dejarlos en una categoría residual entre las personas no disponibles para trabajar. Ver documento de Diseño Conceptual Sección 3.6.<br/>A partir del tercer trimestre de 2022 se retomó la clasificación de la ENOE y se clasificó a las personas ausentes temporales de una actividad u oficio y a las personas con necesidad o deseos de trabajar en el rubro "Otros" de la Población No Económicamente Activa No Disponible."
6200032079,Población no económicamente activa no disponible - 15 años y más,"La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032080,Población ocupada con ingresos de hasta un salario mínimo - 15 años y más,"La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032081,"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, hombres","La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032082,"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, mujeres","La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032083,Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más,"La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032084,"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, hombres","La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032085,"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, mujeres","La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032086,Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más,"La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032087,"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, hombres","La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
6200032088,"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, mujeres","La información a partir del primer trimestre de 2023 y del primer trimestre de 2005 hasta el primer trimestre de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE); para el segundo trimestre corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE); y del tercer trimestre de 2020 al cuarto trimestre de 2022 corresponde a la Encuesta Nacional de Ocupación y Empleo, Nueva Edición (ENOEN). La información presentada para el segundo trimestre de 2020 se construyó a partir del promedio de cada uno de los indicadores mensuales (absolutos y relativos) provenientes de la ETOE que ofrece información para los meses de abril, mayo y junio de 2020.<br><br>La información desde 2005 hasta la fecha considera las estimaciones poblacionales trimestrales generadas por el Marco Muestreo del INEGI.<br><br>Derivado del desastre natural ocasionado por el huracán Otis en el estado de Guerrero, a partir del 25 de octubre de 2023 se postergó la captación de información en esta entidad a través de encuestas en hogares, como es el caso de la ENOE. La información de ocupación y empleo de la entidad de Guerrero correspondientes al cuarto trimestre de 2023, se construyen principalmente, a partir de la entrevista completa del mes de octubre, por lo que los resultados no reflejan el impacto del huracán en el mercado laboral de dicha entidad federativa. Se anuncia que los trabajos de recolección de información para la entidad de Guerrero se han retomado en su totalidad a partir de enero de 2024.<br><br>La información corresponde a la población de 15 años y más de edad, debido a la modificación que se realizó en 2014 a la Constitución Política de los Estados Unidos Mexicanos, que elevó la edad legal mínima para trabajar de los 14 a los 15 años."
