cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2005/t1,29359994,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2005/t2,29542359,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2005/t3,29076151,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2005/t4,29299934,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2006/t1,29436271,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2006/t2,29415581,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2006/t3,29078799,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2006/t4,29225611,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2007/t1,29991229,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2007/t2,29946377,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2007/t3,30181918,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2007/t4,29601564,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2008/t1,30480318,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2008/t2,30289217,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2008/t3,30694844,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2008/t4,31345915,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2009/t1,31892804,Número de personas
